Наименование;Цена;Напряжение, В;Бренд;Диаметр;Высота;Цвет арматуры;Цвет плафонов;Количество ламп;Мощность, Вт;Общая мощность, Вт;Стиль;Цоколь
Люстра Lussole GRLSP-8247 - 181257;12380;220;Lussole;600;370;медь;белый;9;10;90;модерн;E27
Люстра Lussole LSP-8390 - 181336;21470;220-240;Lussole;600;1000;хром;белый;1;40;40;модерн;LED
Люстра Lussole LSP-8815 - 286096;16450;220;Lussole;400;370;матовый никель;прозрачный;3;60;180;модерн;E27
Люстра Lussole GRLSP-8183 - 181248;71690;220;Lussole;610;1400;золото;прозрачный;9;7;63;классика;E14
Люстра Lussole LSP-8816 - 286097;16450;220;Lussole;400;370;коричневый;прозрачный;3;60;180;модерн;E27
Люстра Lussole GRLSP-8340 - 181291;51020;220;Lussole;610;2000;золото;прозрачный;16;5;80;модерн;G9
Люстра Lussole LSP-8410 - 194467;17460;220-240;Lussole;600;200;черный;янтарный;5;40;200;лофт;E14
Люстра Lussole GRLSP-8339 - 181290;51020;220;Lussole;600;2000;хром;прозрачный;16;5;80;модерн;G9
Люстра Lussole LSP-8821 - 281758;13200;220;Lussole;610;570;бронза;прозрачный;5;40;200;модерн;E14
Люстра Lussole LSP-8826 - 281763;18650;220;Lussole;610;860;бронза;прозрачный;9;40;360;модерн;G9
Люстра Lussole LSP-7020 - 281752;34100;220-240;Lussole;600;1200;бронза;белый;1;35;35;лофт;LED
Люстра Lussole LSP-8828 - 281765;27030;220;Lussole;400;550;белый;прозрачный;10;50;500;модерн;GU10
Люстра Lussole GRLSP-8272 - 181271;7320;220;Lussole;600;650;черный;прозрачный;9;10;90;модерн;E27
Люстра Lussole LSP-8824 - 281761;18430;220;Lussole;610;1200;бронза;белый;6;40;240;модерн;E14
Люстра Lussole LSP-8827 - 281764;18430;220-240;Lussole;600;550;белый;белый;6;50;300;модерн;GU10
Люстра Lussole LSP-8819 - 281756;8750;220;Lussole;400;500;хром;серый;5;40;200;модерн;E14
Люстра Lussole LSP-8755 - 279060;87890;220;Lussole;610;1200;хром;прозрачный;24;5;120;модерн;G9
Люстра Lussole LSP-8823 - 281760;16340;220;Lussole;600;800;матовое золото;белый;6;40;240;модерн;G9
Люстра Lussole LSP-8822 - 281759;10880;220-240;Lussole;600;400;золото;прозрачный;5;40;200;модерн;G9
Люстра Lussole LSP-8820 - 281757;8210;220;Lussole;400;300;черный;белый;6;40;240;модерн;E14
Люстра Lussole LSP-8775 - 280865;13850;220;Lussole;600;1500;хром;прозрачный;8;40;320;модерн;G9
Люстра Lussole LSP-8795 - 278396;4790;220;Lussole;610;300;черный;прозрачный;3;60;180;модерн;E27
Люстра Lussole LSP-8804 - 278405;22000;220;Lussole;400;1700;матовое золото;белый;7;25;175;модерн;G9
Люстра Lussole LSP-8805 - 278406;22000;220;Lussole;610;1700;коричневый;серый;7;25;175;модерн;G9
Люстра Lussole LSP-8778 - 280868;31240;220;Lussole;600;1500;золото;прозрачный;12;40;480;модерн;G9
Люстра Lussole LSP-8738 - 278389;24530;220-240;Lussole;600;1200;матовое золото;прозрачный;6;40;240;модерн;E14
Люстра Lussole LSP-8797 - 278398;19230;220;Lussole;400;800;черный;янтарный;8;40;320;модерн;E14
Люстра Lussole LSP-8796 - 278397;7690;220;Lussole;610;300;черный;серый;5;60;300;модерн;E27
Люстра Lussole LSP-8800 - 278401;10990;220-240;Lussole;600;1000;черный;янтарный;5;60;300;модерн;E27
Люстра Lussole LSP-8751 - 273441;30970;220;Lussole;600;1400;матовое золото;янтарный;14;25;350;модерн;G9
Люстра Lussole LSP-8798 - 278399;13200;220;Lussole;400;700;черный;белый;5;40;200;модерн;E14
Люстра Lussole LSP-8733 - 278388;19970;220-240;Lussole;600;1450;коричневый;янтарный;4;40;160;модерн;E14
Люстра Lussole LSP-8744 - 278393;26240;220;Lussole;610;1700;хром;серый;5;40;200;модерн;E14
Люстра Lussole LSP-7009 - 269661;19800;220;Lussole;400;1400;черный;белый;7;4;28;модерн;LED
Люстра Lussole LSP-8749 - 273439;49970;220;Lussole;610;1500;матовое золото;белый;6;25;150;модерн;G9
Люстра Lussole LSP-8750 - 273440;48890;220;Lussole;600;1400;черный;серый;20;25;500;модерн;G9
Люстра Lussole LSP-8710 - 269662;11000;220;Lussole;600;400;черный;янтарный;6;40;240;модерн;E14
Люстра Lussole LSP-8419 - 243465;7050;220;Lussole;600;180;белый;прозрачный;3;40;120;модерн;E14
Люстра Lussole LSP-8371CH - 243657;7310;220;Lussole;610;200;хром;серый;3;40;120;модерн;E14
Люстра Lussole LSP-8726 - 269678;9900;220-240;Lussole;600;400;золото;прозрачный;5;40;200;модерн;E14
Люстра Lussole LSP-8413 - 243462;10670;220;Lussole;600;1250;матовое золото;белый;8;40;320;модерн;E27
Люстра Lussole LSP-8720 - 269672;9410;220;Lussole;400;260;бронза;прозрачный;6;60;360;модерн;E27
Люстра Lussole LSP-8418 - 243464;9650;220;Lussole;600;240;матовое золото;прозрачный;6;40;240;модерн;E27
Люстра Lussole LSP-8712 - 269664;21920;220-240;Lussole;600;1350;золото;прозрачный;8;40;320;модерн;E14
Люстра Lussole LSP-8455 - 243470;72040;220;Lussole;610;1500;матовое золото;белый;10;25;250;модерн;G9
Люстра Lussole LSP-8716 - 269668;13170;220;Lussole;400;1300;белый;прозрачный;5;40;200;модерн;E14
Люстра Lussole LSP-8641 - 243381;42940;220;Lussole;600;1700;золото;белый;6;5;30;модерн;LED
Люстра Lussole LSP-8412 - 243461;8990;220;Lussole;600;1250;матовое золото;белый;6;40;240;модерн;E27
Люстра Lussole LSP-8723 - 269675;9550;220;Lussole;400;400;золото;белый;5;40;200;модерн;E14
Люстра Lussole LSP-8549 - 243517;55000;220;Lussole;610;1500;матовое золото;белый;7;40;280;модерн;G9
Люстра Lussole LSP-8719 - 269671;17170;220-240;Lussole;600;1400;черный;прозрачный;8;60;480;модерн;E27
Люстра Lussole LSP-8415 - 243463;9650;220;Lussole;610;240;хром;прозрачный;6;40;240;модерн;E27
Люстра Lussole LSP-8603 - 243559;15740;220;Lussole;400;1650;белый;белый;3;10;30;модерн;E27
Люстра Lussole LSP-8531 - 243514;33620;220-240;Lussole;600;1500;бронза;прозрачный;8;40;320;модерн;E14
Люстра Lussole LSP-8462 - 243472;23650;220;Lussole;600;1450;хром;прозрачный;9;40;360;модерн;G9
Люстра Lussole LSP-8597 - 243553;93060;220;Lussole;610;1700;матовое золото;белый;9;40;360;модерн;G9
Люстра Lussole LSP-8598 - 243554;44000;220;Lussole;400;1200;матовое золото;белый;10;40;400;модерн;E14
Люстра Lussole LSP-8612 - 243563;35610;220;Lussole;600;1700;бронза;серый;12;40;480;модерн;G9
Люстра Lussole LSP-8655 - 243390;33000;220-240;Lussole;600;1200;матовое золото;прозрачный;1;28;28;модерн;LED
Люстра Lussole LSP-8451 - 243466;13750;220;Lussole;610;180;белый;прозрачный;7;40;280;модерн;E14
Люстра Lussole LSP-8604 - 243560;61060;220;Lussole;600;1200;матовое золото;прозрачный;12;40;480;модерн;E14
Люстра Lussole LSP-8452 - 243467;10190;220;Lussole;400;180;черный;прозрачный;5;40;200;модерн;E14
Люстра Lussole LSP-8461 - 243471;23650;220-240;Lussole;600;1450;золото;прозрачный;9;40;360;модерн;G9
Люстра Lussole LSP-8599 - 243555;60520;220;Lussole;610;1200;матовое золото;белый;10;40;400;модерн;E14
Люстра Lussole LSP-8605 - 243561;63530;220;Lussole;600;1700;матовое золото;прозрачный;7;40;280;модерн;G9
Люстра Lussole LSP-8606 - 243562;97920;220;Lussole;610;1600;матовое золото;прозрачный;13;40;520;модерн;G9
Люстра Lussole LSP-8381 - 203634;18960;220-240;Lussole;600;500;хром;прозрачный;13;40;520;модерн;G9
Люстра Lussole LSP-8268-G - 286085;7700;220;Lussole;600;1000;белый;прозрачный;5;6;30;модерн;E27
Люстра Lussole LSP-8582 - 243538;56850;220;Lussole;400;2000;хром;прозрачный;20;40;800;модерн;G9
Люстра Lussole LSP-8654 - 243569;61730;220;Lussole;610;1200;черный;белый;12;6;72;модерн;G9
Люстра Lussole LSP-8268-CL - 286084;7510;220;Lussole;600;1000;белый;прозрачный;5;6;30;модерн;E27
Люстра Lussole LSP-8382 - 203635;15400;220-240;Lussole;600;450;черный;белый;10;40;400;модерн;G9
Люстра Lussole LSP-8376 - 221225;18430;220;Lussole;400;550;черный;прозрачный;6;50;300;модерн;GU10
Люстра Lussole LSP-8386 - 203637;24570;220-240;Lussole;600;400;бронза;прозрачный;8;40;320;модерн;E14
Люстра Lussole LSP-8156-W - 286080;12480;220;Lussole;600;1650;черный;прозрачный;6;6;36;модерн;E27
Люстра Lussole LSP-8156-S - 286079;12700;220;Lussole;610;1650;черный;белый;6;6;36;модерн;E27
Люстра Lussole LSP-8433 - 221249;23880;220;Lussole;400;260;матовое золото;белый;6;10;60;модерн;LED
Люстра Escada 10213/4LED BL White - 286044;23400;220;Escada;610;215;белый;черный;1;108;108;модерн;LED
Люстра Lussole LSP-8268-S - 286086;7700;220-240;Lussole;600;1000;белый;прозрачный;5;6;30;модерн;E27
Люстра Escada 2109/1 Copper - 286046;21650;220;Escada;400;70;медь;белый;24;3;72;модерн;G4
Люстра Escada 2109/16 Chrome - 286047;13120;220;Escada;610;70;хром;белый;16;3;48;модерн;G4
Люстра Lussole LSP-8156-CL - 286077;12480;220-240;Lussole;600;1650;черный;прозрачный;6;6;36;модерн;E27
Люстра Lussole LSP-8156-G - 286078;12700;220;Lussole;600;1650;черный;прозрачный;6;6;36;модерн;E27
Люстра Escada 10213/4LED BL Chrome - 286043;25330;220;Escada;610;215;хром;золото;1;108;108;модерн;LED
Люстра Escada 2109/1 Chrome - 286045;21650;220;Escada;400;70;хром;белый;24;3;72;модерн;G4
Люстра Escada 10213/2LED BL White - 286042;9470;220;Escada;600;135;белый;черный;1;56;56;модерн;LED
Люстра Lussole LSP-8268-W - 286087;7510;220-240;Lussole;600;1000;белый;прозрачный;5;6;30;модерн;E27
Люстра Escada 10261/6LED - 274448;19040;220;Escada;600;90;белый;белый;1;240;240;модерн;LED
Люстра Escada 10213/2LED BL Chrome - 286041;11310;220;Escada;600;135;хром;золото;1;56;56;модерн;LED
Люстра Escada 2109/16 Copper - 286048;13120;220;Escada;400;70;медь;белый;16;3;48;модерн;G4
Люстра Escada 699/4P - 283027;6640;220;Escada;610;210;черный;прозрачный;4;60;240;модерн;E27
Люстра Escada 10270/5LED - 274462;6930;220;Escada;600;75;белый;прозрачный;1;76;76;модерн;LED
Люстра Escada 1100/3P Gold - 274470;3210;220;Escada;560;170;золото;белый;3;40;120;модерн;E14
Люстра Escada 10214/2LED - 274464;3200;220;Escada;400;125;белый;прозрачный;1;30;30;модерн;LED
Люстра Escada 10263/3LED BL - 274451;10110;220;Escada;600;90;белый;прозрачный;1;114.5;114.5;модерн;LED
Люстра Escada 10263/8LED BL - 274453;22140;220;Escada;600;135;белый;прозрачный;1;209;209;модерн;LED
Люстра Escada 10221/4LED BL - 274461;9670;220;Escada;600;125;белый;белый;4;73;292;модерн;LED
Люстра Escada 10263/5LED BL - 274452;13780;220;Escada;600;90;белый;прозрачный;1;188;188;модерн;LED
Люстра Escada 10207/10LED BL - 274441;20250;220;Escada;600;120;хром;прозрачный;1;266;266;модерн;LED
Люстра Escada 10232/6LED - 274450;15350;220;Escada;400;130;белый;прозрачный;1;114;114;модерн;LED
Люстра Escada 1100/5P Gold - 274472;4730;220;Escada;560;170;золото;белый;5;40;200;модерн;E14
Люстра Escada 10232/8LED - 273526;14800;220;Escada;600;130;белый;прозрачный;1;152;152;модерн;LED
Люстра Escada 10261/7LED - 273566;23160;220;Escada;600;90;белый;белый;1;280;280;модерн;LED
Люстра Escada 1100/3P Chrome - 274469;3210;220;Escada;560;170;хром;белый;3;40;120;модерн;E14
Люстра Escada 10259/6LED - 273565;16570;220;Escada;560;130;белый;прозрачный;1;186;186;модерн;LED
Люстра Escada 10260/6LED - 273568;22220;220;Escada;600;130;белый;белый;1;240;240;модерн;LED
Люстра Escada 10262/3LED - 273569;17700;220;Escada;600;85;белый;белый;1;165;165;модерн;LED
Люстра Escada 10263/4LED - 273527;8790;220;Escada;560;90;белый;прозрачный;1;144;144;модерн;LED
Люстра Escada 10219/6LED - 271863;24190;220;Escada;600;215;черный;прозрачный;1;78;78;модерн;LED
Люстра Escada 10265/8LED - 271865;18260;220;Escada;560;125;белый;прозрачный;1;150;150;модерн;LED
Люстра Escada 10270/4LED - 273528;4220;220;Escada;600;75;белый;прозрачный;1;61;61;модерн;LED
Люстра Escada 10256/3LED - 271859;4700;220;Escada;560;80;белый;прозрачный;1;61;61;модерн;LED
Люстра Escada 10233/5LED - 271854;11150;220;Escada;600;80;белый;прозрачный;1;105;105;модерн;LED
Люстра Escada 10264/5LED - 271861;9370;220;Escada;560;80;белый;прозрачный;1;94;94;модерн;LED
Люстра Escada 659/4PL Black - 264695;6000;220;Escada;600;200;черный;прозрачный;4;60;240;модерн;E27
Люстра Escada 10264/3LED - 271860;4900;220;Escada;600;80;белый;прозрачный;1;61;61;модерн;LED
Люстра Escada 10208/8LED - 271862;21850;220;Escada;560;190;черный;прозрачный;1;110;110;модерн;LED
Люстра Escada 665/3P - 264709;4820;220;Escada;600;240;золото;янтарный;3;40;120;модерн;E27
Люстра Escada 664/3P - 264701;4450;220;Escada;560;185;хром;белый;3;40;120;модерн;E27
Люстра Escada 664/5P - 264702;7250;220;Escada;560;190;хром;белый;5;40;200;модерн;E27
Люстра Escada 10264/9LED - 264677;15490;220;Escada;600;120;белый;прозрачный;1;179;179;модерн;LED
Люстра Escada 659/4PL Chrome - 264696;6000;220;Escada;560;200;хром;прозрачный;4;60;240;модерн;E27
Люстра Escada 663/5P - 264700;6990;220;Escada;600;180;золото;янтарный;5;40;200;модерн;E14
Люстра Escada 659/6PL Chrome - 264698;8500;220;Escada;600;200;хром;прозрачный;6;60;360;модерн;E27
Люстра Escada 670/5P - 264712;6990;220;Escada;560;200;хром;дымчатый;5;40;200;модерн;E14
Люстра Escada 665/5P - 264710;6870;220;Escada;600;240;золото;янтарный;5;40;200;модерн;E27
Люстра Escada 663/3P - 264699;4600;220;Escada;560;180;золото;янтарный;3;40;120;модерн;E14
Люстра Escada 659/6PL Black - 264697;8500;220;Escada;560;200;черный;прозрачный;6;60;360;модерн;E27
Люстра Escada 1123/6PL Chrome - 264525;18600;220;Escada;600;470;хром;прозрачный;6;60;360;модерн;E27
Люстра Escada 10231/8LED - 264676;19490;220;Escada;600;120;белый;прозрачный;1;301;301;модерн;LED
Люстра Escada 10269/6LED - 264483;6210;220;Escada;560;90;белый;белый;6;51;306;модерн;LED
Люстра Escada 1119/4PL Gold - 264514;9370;220;Escada;600;340;золото;прозрачный;4;60;240;модерн;E27
Люстра Escada 1113/4PL Gold - 264517;9440;220;Escada;560;400;золото;прозрачный;4;60;240;модерн;E27
Люстра Escada 10269/10LED - 264482;9070;220;Escada;600;90;белый;белый;10;86;860;модерн;LED
Люстра Escada 1113/4PL Chrome - 264516;9440;220;Escada;560;400;хром;прозрачный;4;60;240;модерн;E27
Люстра Escada 10267/6LED - 264486;14190;220;Escada;600;105;белый;белый;6;170;1020;модерн;LED
Люстра Escada 10227/4LED - 264488;10500;220;Escada;560;85;белый;белый;1;95;95;модерн;LED
Люстра Escada 1120/4PL Chrome - 264519;11580;220;Escada;560;370;хром;прозрачный;4;60;240;модерн;E14
Люстра Escada 1119/4PL Chrome - 264513;9370;220;Escada;600;340;хром;прозрачный;4;60;240;модерн;E27
Люстра Escada 10268/6LED White - 264494;19550;220;Escada;600;60;белый;белый;6;72;432;модерн;LED
Люстра Escada 10268/4LED White - 264492;11670;220;Escada;560;60;белый;белый;4;40;160;модерн;LED
Люстра Escada 1120/6PL Gold - 264522;17970;220;Escada;600;450;золото;прозрачный;6;60;360;модерн;E14
Люстра Escada 1123/4PL Gold - 264524;10270;220;Escada;560;420;золото;прозрачный;4;60;240;модерн;E27
Люстра Escada 1120/4PL Gold - 264520;11580;220;Escada;600;370;золото;прозрачный;4;60;240;модерн;E14
Люстра Escada 1120/6PL Chrome - 264521;17970;220;Escada;560;450;хром;прозрачный;6;60;360;модерн;E14
Люстра Escada 10268/6LED Silver - 264493;19550;220;Escada;600;60;серебро;белый;6;72;432;модерн;LED
Люстра Escada 1123/6PL Gold - 264526;18600;220;Escada;560;470;золото;прозрачный;6;60;360;модерн;E27
Люстра Escada 10235/9LED - 264490;18000;220;Escada;560;205;черный;бронза;1;110;110;модерн;LED
Люстра Escada 682/4PL Chrome - 253759;10120;220;Escada;600;440;хром;прозрачный;4;60;240;модерн;E27
Люстра Escada 10268/4LED Silver - 264491;11670;220;Escada;600;60;серебро;белый;4;40;160;модерн;LED
Люстра Escada 10210/3LED - 264484;7410;220;Escada;560;80;белый;белый;1;78;78;модерн;LED
Люстра Escada 10267/4LED - 264485;8650;220;Escada;600;105;белый;белый;4;115;460;модерн;LED
Люстра Escada 1123/4PL Chrome - 264523;10270;220;Escada;560;420;хром;прозрачный;4;60;240;модерн;E27
Люстра Escada 465/8PL - 249298;15980;220;Escada;560;320;золото;прозрачный;8;40;320;модерн;G9
Люстра Escada 692/6P Сopper - 252717;26550;220;Escada;600;295;медь;прозрачный;6;60;360;модерн;E27
Люстра Escada 683/8P - 254414;13390;220;Escada;600;420;хром;дымчатый;8;40;320;модерн;E14
Люстра Escada 692/5P Сopper - 252688;22020;220;Escada;600;295;медь;прозрачный;5;60;300;модерн;E14
Люстра Escada 10220/6LED 120W - 249111;13560;220;Escada;560;170;белый;белый;1;120;120;модерн;LED
Люстра Escada 10248/3LED - 242880;8110;220;Escada;560;70;золото;белый;1;73;73;модерн;LED
Люстра Escada 1178/5P - 241601;7520;220;Escada;600;285;белый;прозрачный;5;60;300;модерн;E27
Люстра Escada 1128/4 - 241596;7750;220;Escada;600;110;золото;прозрачный;4;60;240;модерн;E27
Люстра Escada 697/3P - 242883;4280;220;Escada;560;280;белый;белый;3;60;180;модерн;E27
Люстра Escada 1126/6 - 241595;11850;220;Escada;600;380;белый;прозрачный;6;60;360;модерн;E27
Люстра Escada 1178/3P - 241600;4750;220;Escada;600;285;белый;прозрачный;3;60;180;модерн;E27
Люстра Escada 684/6P - 249122;5170;220;Escada;560;170;хром;белый;6;60;360;модерн;E27
Люстра Escada 10248/6LED - 242881;10350;220;Escada;560;125;золото;белый;1;149;149;модерн;LED
Люстра Escada 10239/6LED - 241574;16000;220;Escada;600;145;белый;белый;1;170;170;модерн;LED
Люстра Escada 1129/4PL Grey - 241581;7950;220;Escada;600;285;белый;серый;4;60;240;модерн;E27
Люстра Escada 697/5P - 242884;5880;220;Escada;560;280;белый;белый;5;60;300;модерн;E27
Люстра Escada 1129/3PL Grey - 241580;6100;220;Escada;560;285;белый;серый;3;60;180;модерн;E27
Люстра Escada 10236/6LED - 226223;17270;220;Escada;600;410;белый;белый;1;96;96;модерн;LED
Люстра Escada 10209/3LED - 226209;11890;220;Escada;560;80;черный;золото;1;68;68;модерн;LED
Люстра Escada 1175/3P - 226238;3890;220;Escada;600;200;хром;прозрачный;3;40;120;модерн;E27
Люстра Escada 1128/6 - 241597;19570;220;Escada;560;430;золото;прозрачный;6;60;360;модерн;E27
Люстра Escada 10239/3LED - 226225;7710;220;Escada;560;80;белый;коричневый;1;76;76;модерн;LED
Люстра Escada 10225/6LED Gold - 226222;15410;220;Escada;600;130;золото;золото;1;97;97;модерн;LED
Люстра Escada 10251/4LED BL - 223806;8330;220;Escada;560;105;белый;белый;1;75;75;модерн;LED
Люстра Escada 1177/4P - 226242;6290;220;Escada;600;220;белый;дымчатый;4;60;240;модерн;E27
Люстра Escada 642/6PL - 241582;6290;220;Escada;560;290;хром;серый;6;60;360;модерн;E14
Люстра Escada 10206/9LED - 226207;21310;220;Escada;600;70;черный;золото;1;97;97;модерн;LED
Люстра Escada 1113/7PL - 223890;22190;220;Escada;560;535;золото;прозрачный;7;60;420;модерн;E27
Люстра Escada 674/6PL Chrome - 226231;14600;220;Escada;600;275;хром;дымчатый;6;60;360;модерн;E27
Люстра Escada 1124/6P - 223848;16520;220;Escada;560;290;белый;белый;6;40;240;модерн;E27
Люстра Escada 10251/6LED BL - 223808;14230;220;Escada;600;125;белый;белый;1;105;105;модерн;LED
Люстра Escada 1123/6PL - 223893;20650;220;Escada;560;470;белый;прозрачный;6;60;360;модерн;E27
Люстра Escada 1161/6P - 223909;9660;220;Escada;600;400;хром;белый;6;60;360;модерн;E27
Люстра Escada 10251/3LED BL - 223805;7540;220;Escada;560;85;белый;белый;1;65;65;модерн;LED
Люстра Escada 10207/8LED - 223776;12460;220;Escada;600;120;белый;белый;1;128;128;модерн;LED
Люстра Escada 1113/1P Black - 223857;4650;220;Escada;600;280;черный;белый;1;40;40;модерн;E27
Люстра Escada 10218/8LED - 223778;13910;220;Escada;560;120;белый;белый;1;216;216;модерн;LED
Люстра Escada 643/4P - 223895;13580;220;Escada;560;490;золото;прозрачный;4;60;240;модерн;E27
Люстра Escada 643/6P - 223896;21420;220;Escada;600;530;золото;прозрачный;6;60;360;модерн;E27
Люстра Escada 10207/5LED - 217371;14810;220;Escada;560;120;белый;белый;1;100;100;модерн;LED
Люстра Escada 679/3PL - 223850;5180;220;Escada;600;210;хром;белый;3;60;180;модерн;E27
Люстра Escada 10228/9LED - 223790;17460;220;Escada;560;125;белый;белый;1;137;137;модерн;LED
Люстра Escada 10220/3LED - 223779;7810;220;Escada;560;120;белый;белый;1;108;108;модерн;LED
Люстра Escada 10218/4LED White - 221406;8200;220;Escada;560;75;белый;белый;1;112;112;модерн;LED
Люстра Escada 10214/SG (60W) - 217379;10340;220;Escada;560;110;белый;белый;1;60;60;модерн;LED
Люстра Escada 642/5P - 217092;5160;220;Escada;600;440;белый;белый;5;40;200;модерн;E14
Люстра Escada 671/8P - 216988;16330;220;Escada;560;280;черный;янтарный;8;40;320;модерн;E14
Люстра Escada 664/8P (Chrome) - 217117;24850;220;Escada;600;430;хром;прозрачный;8;40;320;модерн;E14
Люстра Escada 10221/9LED White - 216863;15280;220;Escada;560;115;белый;белый;1;180;180;модерн;LED
Люстра Escada 1114/4PL - 216963;5100;220;Escada;600;385;черный;дымчатый;4;40;160;модерн;E27
Люстра Escada 10208/1LED (Pink) - 217374;5460;220;Escada;600;110;розовый;белый;1;60;60;модерн;LED
Люстра Escada 1116/2PL - 217142;3860;220;Escada;560;280;хром;белый;2;60;120;модерн;E27
Люстра Escada 1123/3P - 216994;7710;220;Escada;560;300;черный;янтарный;3;40;120;модерн;E27
Люстра Escada 10225/6LED Silver - 216866;18370;220;Escada;600;130;серебро;серебро;1;114;114;модерн;LED
Люстра Escada 1123/4PL - 217103;13400;220;Escada;560;420;белый;прозрачный;4;60;240;модерн;E27
Люстра Escada 10208/1LED (Yellow) - 217375;5460;220;Escada;600;110;желтый;белый;1;60;60;модерн;LED
Люстра Escada 1126/8PL Gold - 216971;11820;220;Escada;600;455;золото;золото;8;60;480;модерн;E14
Люстра Escada 469/3PL Black - 216942;4500;220;Escada;560;310;черный;черный;3;60;180;модерн;E27
Люстра Escada 1124/3PL - 217147;5380;220;Escada;560;260;хром;прозрачный;3;60;180;модерн;E27
Люстра Escada 1104/3P - 217166;5170;220;Escada;600;280;черный;белый;3;60;180;модерн;E27
Люстра Escada 1117/2PL - 217144;3650;220;Escada;600;285;белый;белый;2;60;120;модерн;E27
Люстра Escada 1116/3PL - 217143;7430;220;Escada;560;280;хром;белый;3;60;180;модерн;E27
Люстра Escada 599/5P - 216945;9230;220;Escada;560;320;бронза;янтарный;5;60;300;модерн;E27
Люстра Escada 1122/5PL - 217102;17090;220;Escada;600;485;белый;прозрачный;5;60;300;модерн;E27
Люстра Escada 1124/4P - 216997;7990;220;Escada;600;290;белый;белый;4;40;160;модерн;E27
Люстра Escada 548/3 - 217019;4620;220;Escada;560;390;хром;серый;3;40;120;модерн;E27
Люстра Escada 10238/12LED - 216900;19500;220;Escada;560;80;белый;белый;1;170;170;модерн;LED
Люстра Escada 10205/10LED BL - 216842;22320;220;Escada;600;120;белый;белый;1;280;280;модерн;LED
Люстра Escada 1111/5PL - 217033;18170;220;Escada;600;540;бронза;белый;5;40;200;модерн;E14
Люстра Escada 1115/8PL - 216967;15030;220;Escada;560;380;хром;дымчатый;8;15;120;модерн;E14
Люстра Escada 1117/3PL - 217145;4860;220;Escada;560;285;белый;белый;3;60;180;модерн;E27
Люстра Escada 10216/4LED BL - 216858;8140;220;Escada;600;90;белый;белый;1;80;80;модерн;LED
Люстра Escada 1124/2PL - 217146;3470;220;Escada;600;255;хром;прозрачный;2;60;120;модерн;E27
Люстра Escada 168/5PL - 217083;8010;220;Escada;560;425;коричневый;белый;5;40;200;модерн;E14
Люстра Escada 10251/4LED - 216882;8630;220;Escada;560;105;белый;белый;1;70;70;модерн;LED
Люстра Escada 654/3PL - 216983;5300;220;Escada;600;310;черный;дымчатый;3;60;180;модерн;E27
Люстра Escada 10215/5LED - 216855;9360;220;Escada;560;75;белый;белый;1;120;120;модерн;LED
Люстра Escada 1122/4PL - 217101;12690;220;Escada;600;440;белый;прозрачный;4;60;240;модерн;E27
Люстра Escada 10209/6LED - 216909;5440;220;Escada;600;130;белый;белый;1;90;90;модерн;LED
Люстра Escada 1121/7PL - 217100;24830;220;Escada;560;500;белый;прозрачный;7;60;420;модерн;E14
Люстра Escada 10210/5LED - 216849;10820;220;Escada;600;80;белый;белый;1;100;100;модерн;LED
Люстра Escada 1112/5PL - 216961;22870;220;Escada;560;400;хром;прозрачный;5;40;200;модерн;E14
Люстра Escada 10204/10LED - 216901;11880;220;Escada;560;85;белый;белый;1;120;120;модерн;LED
Люстра Escada 10223/4LED - 216864;7240;220;Escada;560;85;хром;белый;1;80;80;модерн;LED
Люстра Escada 10215/3LED - 216854;5920;220;Escada;560;75;белый;белый;1;72;72;модерн;LED
Люстра Escada 681/8P - 216992;13850;220;Escada;560;325;хром;прозрачный;8;40;320;модерн;E14
Люстра Escada 1126/8PL Chrome - 216970;12060;220;Escada;600;435;хром;серебро;8;60;480;модерн;E14
Люстра Escada 692/5P (Chrome) - 217123;18930;220;Escada;600;310;хром;прозрачный;5;60;300;модерн;E14
Люстра Escada 10216/3LED - 216856;5280;220;Escada;560;85;белый;белый;1;60;60;модерн;LED
Люстра Escada 1118/8PL - 216969;11690;220;Escada;560;475;золото;янтарный;8;60;480;модерн;E27
Люстра Escada 10204/4LED - 216902;5930;220;Escada;600;90;белый;прозрачный;1;96;96;модерн;LED
Люстра Escada 10218/4LED Chrome - 216861;9010;220;Escada;600;75;хром;белый;1;112;112;модерн;LED
Люстра Escada 10214/3LED - 216852;4410;220;Escada;560;90;белый;белый;1;54;54;модерн;LED
Люстра Escada 10206/6LED - 216844;5730;220;Escada;600;85;белый;белый;1;96;96;модерн;LED
Люстра Escada 671/5P - 216987;11440;220;Escada;560;280;черный;янтарный;5;40;200;модерн;E14
Люстра Escada 1119/4PL - 217097;9370;220;Escada;600;340;белый;прозрачный;4;60;240;модерн;E27
Люстра Escada 10214/5LED - 216853;8250;220;Escada;560;90;белый;белый;1;90;90;модерн;LED
Люстра Escada 1112/7PL - 216962;24070;220;Escada;600;400;хром;прозрачный;7;40;280;модерн;E14
Люстра Escada 10204/9LED - 216904;17290;220;Escada;560;85;белый;прозрачный;1;165;165;модерн;LED
Люстра Escada 1163/6S - 216981;20330;220;Escada;600;590;черный;белый;6;40;240;модерн;E27
Люстра Escada 1114/6PL - 216964;7380;220;Escada;560;385;черный;дымчатый;6;40;240;модерн;E27
Люстра Escada 10231/S LED - 216920;7140;220;Escada;600;200;белый;белый;1;60;60;модерн;LED
