Наименование;Цена;Напряжение, В;Бренд;Диаметр;Высота;Цвет арматуры;Цвет плафонов;Количество ламп;Мощность, Вт;Общая мощность, Вт;Стиль;Цоколь
Люстра Ideal Lux 138305 - 45419;24900;220;Ideal Lux;250;420;хром;хром;5;60;30;хай-тек;E27
Люстра Lightstar 725263 - 244899;25000;220;Lightstar;700;650;золото;золото;6;40;240;арт-деко;E14
Люстра Lightstar 727253 - 193516;24000;220;Lightstar;220;250;коричневый;коричневый;5;40;200;лофт;E27
Люстра Ideal Lux 082059 - 20791;14900;220;Ideal Lux;800;600;хром;белый;9;40;520;хай-тек;E14
Люстра Lightstar 751024 - 10872;39000;220;Lightstar;750;600;хром;хром;12;20;30;модерн;G4
Люстра Odeon Light  4974/6 - 208253;18700;220;Odeon Light;480;1425;золото;прозрачный;6;40;240;модерн;E14
Люстра Odeon Light  4871/5C - 208067;20170;220;Odeon Light;700;210;хром;прозрачный;5;40;200;модерн;E14
Люстра Ideal Lux 101156 - 24220;18500;220;Ideal Lux;800;300;хром;черный;5;60;520;модерн;E27
Люстра Odeon Light  4971/8 - 208243;12030;220;Odeon Light;757;700;черный;прозрачный;8;40;320;лофт;E27
Люстра Odeon Light  4973/6 - 208250;17570;220;Odeon Light;480;1425;хром;прозрачный;6;40;240;модерн;E14
Люстра Odeon Light  4973/5C - 208249;13590;220;Odeon Light;410;300;хром;прозрачный;5;40;200;модерн;E14
Люстра Lightstar 816044 - 180534;19000;220;Lightstar;510;850;хром;прозрачный;4;40;160;арт-деко;E14
Люстра Odeon Light  4925/9 - 208175;33340;220;Odeon Light;600;300;золото;прозрачный;9;40;360;арт-деко;E14
Люстра Odeon Light  4923/10A - 208167;11940;220;Odeon Light;500;1500;хром;прозрачный;10;40;400;модерн;E14
Люстра Favourite 2735-16P - 190404;27000;220;Favourite;700;540;золото;прозрачный;16;40;640;классика;E14
Люстра De Markt 631018201 - 270074;34980;220;De Markt;800;1500;хром;прозрачный;1;65;65;хай-тек;LED
Люстра Odeon Light  4923/12 - 208168;15280;220;Odeon Light;800;1500;хром;прозрачный;12;40;480;модерн;E14
Люстра Odeon Light  4974/5C - 208252;15130;220;Odeon Light;410;300;золото;прозрачный;5;40;200;модерн;E14
Люстра Ideal Lux 035574 - 8960;19900;220;Ideal Lux;920;900;белый;белый;8;40;640;модерн;E14
Люстра Lightstar 727233 - 193515;15000;220;Lightstar;220;250;коричневый;коричневый;3;40;120;лофт;E27
Люстра MW-Light 447010612 - 51832;39790;220;MW-Light;600;920;золото;прозрачный;12;40;480;классика;E14
Люстра Ideal Lux 012872 - 20562;19800;220;Ideal Lux;640;450;бежевый;прозрачный;8;40;200;классика;E14
Люстра Lightstar 725143 - 244897;19000;220;Lightstar;500;600;золото;золото;4;40;160;арт-деко;E14
Люстра MW-Light 345010814 - 59832;59690;220;MW-Light;620;680;хром;прозрачный;14;40;560;модерн;E14
Люстра Ideal Lux 182179 - 81681;14900;220;Ideal Lux;500;630;хром;белый;4;60;640;модерн;E27
Люстра Lightstar 725163 - 244898;25000;220;Lightstar;460;900;золото;золото;6;40;240;арт-деко;E14
Люстра Lightstar 723125 - 243217;34000;220;Lightstar;850;750;никель;белый;12;40;480;модерн;E14
Люстра Chiaro 386017108 - 116673;39920;220;Chiaro;620;600;хром;белый;8;60;480;модерн;E14
Люстра ST Luce SL909.102.06 - 37024;5900;220;ST Luce;430;100;белый;белый;1;103;60;хай-тек;LED
Люстра Odeon Light  4982/12 - 208271;10480;220;Odeon Light;650;1500;хром;прозрачный;12;40;480;модерн;E14
Люстра Lightstar 815417 - 243233;48000;220;Lightstar;900;800;черный;белый;12;28;336;арт-деко;E14
Люстра Chiaro 386017008 - 116672;38950;220;Chiaro;960;600;хром;белый;8;60;480;модерн;E14
Люстра Lightstar 815410 - 243232;48000;220;Lightstar;900;800;черный;прозрачный;12;28;336;арт-деко;E14
Люстра Lightstar 711124 - 86820;19000;220;Lightstar;1050;450;серебро;прозрачный;12;40;480;арт-деко;G9
Люстра Odeon Light  4923/7 - 208170;7710;220;Odeon Light;500;1500;хром;прозрачный;7;40;280;модерн;E14
Люстра Lightstar 744077 - 244891;29000;220;Lightstar;700;650;черный;черный;7;40;280;классика;E14
Люстра Lumion 4593/5C - 242166;2250;220;Lumion;660;235;хром;белый;5;40;200;модерн;E27
Люстра Lightstar 815263 - 243224;25000;220;Lightstar;900;300;золото;прозрачный;6;28;168;арт-деко;G9
Люстра Lightstar 815390 - 243230;38000;220;Lightstar;700;700;черный;прозрачный;9;28;252;арт-деко;E14
Люстра De Markt 496016803 - 48921;9610;220;De Markt;700;125;белый;белый;3;6;18;хай-тек;LED
Люстра Lightstar 755084 - 686;15000;220;Lightstar;900;900;хром;прозрачный;8;35;280;модерн;G4
Люстра Lightstar 723085 - 243216;29000;220;Lightstar;750;650;никель;белый;8;40;320;модерн;E14
Люстра Favourite 2735-10PC - 181008;25000;220;Favourite;550;450;золото;прозрачный;10;40;400;классика;E14
Люстра Lightstar 815397 - 243231;38000;220;Lightstar;700;700;черный;белый;9;28;252;арт-деко;E14
Люстра De Markt 551012709 - 240417;29610;220;De Markt;760;1500;золото;белый;9;67;603;хай-тек;LED
Люстра De Markt 496015302 - 44694;14470;220;De Markt;780;240;хром;хром;1;45;45;хай-тек;LED
Люстра ST Luce SL536.092.09 - 5942;7900;220;ST Luce;900;230;черный;разноцветный;9;40;280;модерн;G9
Люстра F-Promo 2851-8P - 191362;10000;220;F-Promo;760;515;бронза;белый;8;60;480;классика;E14
Люстра ST Luce SL934.502.05 - 41391;9700;220;ST Luce;760;150;белый;белый;1;97;97;хай-тек;LED
Люстра Lumion 3770/99CL - 109071;9000;220;Lumion;760;120;белый;белый;1;130;130;хай-тек;LED
Люстра Lightstar 751247 - 47474;57000;220;Lightstar;1050;750;черный;разноцветный;24;20;280;модерн;G4
Люстра Lightstar 723065 - 243215;23000;220;Lightstar;570;650;никель;белый;6;40;240;модерн;E14
Люстра Ideal Lux 012865 - 20561;19950;220;Ideal Lux;550;450;бежевый;белый;5;40;480;классика;E14
Люстра Chiaro 386016512 - 110390;64410;220;Chiaro;930;720;хром;белый;12;60;720;арт-деко;E27
Люстра Lightstar 711120 - 41432;19000;220;Lightstar;1050;450;белый;прозрачный;12;25;280;модерн;G9
Люстра Vitaluce V4887-7/5PL - 151030;6840;220;Vitaluce;720;220;коричневый;янтарный;5;40;200;арт-деко;E14
Люстра Lightstar 744057 - 244890;24000;220;Lightstar;550;500;черный;черный;5;40;200;классика;E14
Люстра Lumion 4560/5C - 199306;8400;220;Lumion;500;400;черный;белый;5;40;200;лофт;E14
Люстра Ideal Lux 032351 - 16281;11680;220;Ideal Lux;500;420;хром;хром;5;60;280;модерн;E27
Люстра Lumion 5214/3CA - 242137;1790;220;Lumion;550;300;черный;белый;3;60;180;классика;E27
Люстра Lightstar 815267 - 243225;29000;220;Lightstar;720;300;черный;прозрачный;6;28;168;арт-деко;G9
Люстра Lumion 4560/3C - 199305;6400;220;Lumion;400;380;черный;белый;3;40;120;лофт;E14
Люстра ST Luce SL483.602.07 - 31929;6900;220;ST Luce;900;200;хром;красный;7;60;420;модерн;E27
Люстра Odeon Light  4979/12 - 208263;16430;220;Odeon Light;700;660;бронза;белый;12;40;480;модерн;E14, G9
Люстра Lightstar 815283 - 243226;34000;220;Lightstar;500;300;золото;прозрачный;8;28;224;арт-деко;G9
Люстра Odeon Light  4888/5 - 208101;17820;220;Odeon Light;485;1960;хром;прозрачный;5;40;200;модерн;E14
Люстра Lightstar 815287 - 243227;34000;220;Lightstar;550;300;черный;прозрачный;8;28;224;арт-деко;G9
Люстра MW-Light 483015108 - 207506;51060;220;MW-Light;780;1010;латунь;серый;8;40;320;классика;E14
Люстра Odeon Light  4978/12 - 208261;17320;220;Odeon Light;700;660;черный;белый;12;40;480;модерн;E14, G9
Люстра Odeon Light  4888/7 - 208102;24860;220;Odeon Light;652;1960;хром;прозрачный;7;40;280;модерн;E14
Люстра Odeon Light  4924/12 - 208171;29980;220;Odeon Light;735;485;золото;белый;12;40;480;классика;E14
Люстра Lumion 4556/7C - 199294;7000;220;Lumion;720;310;золото;прозрачный;7;40;280;модерн;E14
